episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(7, 3, 0, 176)",3,-0.05,"(7, 3, 0, 175)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.996004
5,1000,"(1, 1, 0, 126)",0,-0.05,"(1, 1, 0, 125)",0,-0.013875,-0.020408,-0.04355,0.15,0.99,0.992024
7,1500,"(1, 8, 0, 76)",2,-0.05,"(1, 8, 0, 75)",0,0.0,-0.0075,-0.05,0.15,0.99,0.98806
9,2000,"(2, 5, 0, 26)",3,-0.05,"(2, 5, 0, 25)",0,-0.013875,-0.019294,-0.036125,0.15,0.99,0.984112
12,2500,"(9, 1, 0, 201)",0,-0.05,"(8, 1, 0, 200)",0,0.0,-0.0075,-0.05,0.15,0.99,0.978219
14,3000,"(4, 1, 0, 151)",0,-0.05,"(3, 1, 0, 150)",0,-0.041995,-0.046061,-0.027106,0.15,0.99,0.97431
16,3500,"(5, 3, 0, 101)",3,-0.05,"(5, 3, 0, 100)",0,-0.014989,-0.022466,-0.04985,0.15,0.99,0.970416
18,4000,"(9, 4, 0, 51)",2,-0.05,"(9, 4, 0, 50)",0,-0.014989,-0.022466,-0.04985,0.15,0.99,0.966539
20,4500,"(5, 6, 0, 1)",2,-0.05,"(5, 6, 0, 0)",1,0.0,-0.0075,-0.05,0.15,0.99,0.962676
23,5000,"(5, 3, 0, 176)",1,-0.05,"(5, 4, 0, 175)",0,-0.0239,-0.028928,-0.033525,0.15,0.99,0.956912
25,5500,"(1, 1, 0, 126)",2,-0.05,"(2, 1, 0, 125)",0,-0.069706,-0.075114,-0.036053,0.15,0.99,0.953088
27,6000,"(1, 1, 0, 76)",1,-0.05,"(1, 1, 0, 75)",0,-0.05804,-0.062625,-0.030563,0.15,0.99,0.949279
29,6500,"(6, 1, 0, 26)",3,-0.05,"(6, 1, 0, 25)",0,-0.053106,-0.058106,-0.033333,0.15,0.99,0.945486
32,7000,"(6, 1, 0, 201)",2,-0.05,"(7, 1, 0, 200)",0,-0.027711,-0.033115,-0.036025,0.15,0.99,0.939825
34,7500,"(1, 1, 0, 151)",2,-0.05,"(2, 1, 0, 150)",0,-0.066976,-0.068012,-0.006902,0.15,0.99,0.936069
36,8000,"(13, 5, 0, 101)",1,-0.05,"(13, 5, 0, 100)",0,0.0,-0.0075,-0.05,0.15,0.99,0.932328
38,8500,"(15, 2, 0, 51)",3,-0.05,"(15, 1, 0, 50)",0,-0.02596,-0.03068,-0.031465,0.15,0.99,0.928603
40,9000,"(9, 4, 0, 1)",2,-0.05,"(9, 4, 0, 0)",1,-0.0075,-0.013875,-0.0425,0.15,0.99,0.924892
43,9500,"(3, 1, 0, 176)",1,-0.05,"(3, 2, 0, 175)",0,-0.094202,-0.098121,-0.026131,0.15,0.99,0.919354
45,10000,"(1, 8, 0, 126)",0,-0.05,"(1, 8, 0, 125)",0,-0.013875,-0.020408,-0.04355,0.15,0.99,0.91568
47,10500,"(13, 9, 0, 76)",2,-0.05,"(13, 8, 0, 75)",0,0.0,-0.0075,-0.05,0.15,0.99,0.912021
49,11000,"(1, 13, 0, 26)",2,-0.05,"(1, 13, 0, 25)",0,0.0,-0.0075,-0.05,0.15,0.99,0.908377
52,11500,"(4, 1, 0, 201)",1,-0.05,"(5, 1, 0, 200)",0,-0.118896,-0.121905,-0.020061,0.15,0.99,0.902937
54,12000,"(2, 1, 0, 151)",2,-0.05,"(3, 1, 0, 150)",0,-0.083794,-0.089381,-0.037248,0.15,0.99,0.899329
56,12500,"(7, 7, 0, 101)",2,-0.05,"(7, 6, 0, 100)",0,-0.020408,-0.029167,-0.058395,0.15,0.99,0.895735
58,13000,"(7, 6, 0, 51)",2,-0.05,"(7, 6, 0, 50)",0,-0.0075,-0.014989,-0.049925,0.15,0.99,0.892156
60,13500,"(5, 6, 0, 1)",3,-0.05,"(5, 5, 0, 0)",1,-0.017188,-0.02211,-0.032812,0.15,0.99,0.888591
63,14000,"(7, 3, 0, 176)",0,-0.05,"(6, 3, 0, 175)",0,-0.063038,-0.070218,-0.047863,0.15,0.99,0.88327
65,14500,"(6, 9, 0, 126)",2,-0.05,"(6, 9, 0, 125)",0,-0.040964,-0.044946,-0.026546,0.15,0.99,0.879741
67,15000,"(7, 12, 0, 76)",3,-0.05,"(7, 12, 0, 75)",0,-0.049219,-0.053853,-0.030894,0.15,0.99,0.876225
69,15500,"(12, 7, 0, 26)",2,-0.05,"(13, 7, 0, 25)",0,-0.028928,-0.033203,-0.028497,0.15,0.99,0.872724
72,16000,"(3, 3, 0, 201)",3,-0.05,"(3, 2, 0, 200)",0,-0.14708,-0.154945,-0.052433,0.15,0.99,0.867498
74,16500,"(5, 1, 0, 151)",2,-0.05,"(6, 1, 0, 150)",0,-0.130464,-0.135732,-0.035125,0.15,0.99,0.864031
76,17000,"(7, 9, 0, 101)",3,-0.05,"(7, 8, 0, 100)",0,-0.017352,-0.023363,-0.040073,0.15,0.99,0.860579
78,17500,"(3, 2, 0, 51)",3,-0.05,"(3, 1, 0, 50)",0,-0.059925,-0.069012,-0.06058,0.15,0.99,0.85714
80,18000,"(10, 11, 0, 1)",2,-0.05,"(10, 11, 0, 0)",1,-0.013875,-0.019294,-0.036125,0.15,0.99,0.853715
83,18500,"(4, 1, 0, 176)",3,-0.05,"(3, 1, 0, 175)",0,-0.185201,-0.19128,-0.040523,0.15,0.99,0.848603
85,19000,"(7, 8, 0, 126)",2,-0.05,"(7, 8, 0, 125)",0,-0.044192,-0.050169,-0.039848,0.15,0.99,0.845212
87,19500,"(3, 2, 0, 76)",3,-0.05,"(3, 2, 0, 75)",0,-0.066972,-0.071613,-0.03094,0.15,0.99,0.841834
89,20000,"(10, 11, 0, 26)",3,-0.05,"(10, 11, 0, 25)",0,-0.014989,-0.022301,-0.048748,0.15,0.99,0.83847
92,20500,"(5, 5, 0, 201)",0,-0.05,"(5, 5, 0, 200)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.833449
94,21000,"(3, 14, 0, 151)",2,-0.05,"(3, 14, 0, 150)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.830119
96,21500,"(11, 13, 0, 101)",0,-0.05,"(10, 13, 0, 100)",0,-0.015935,-0.022159,-0.04149,0.15,0.99,0.826802
98,22000,"(5, 1, 0, 51)",2,-0.05,"(6, 1, 0, 50)",0,-0.079953,-0.085385,-0.036218,0.15,0.99,0.823498
100,22500,"(15, 3, 0, 1)",3,-0.05,"(15, 2, 0, 0)",1,-0.023106,-0.02714,-0.026894,0.15,0.99,0.820207
103,23000,"(7, 10, 0, 176)",0,-0.05,"(7, 10, 0, 175)",0,-0.014989,-0.02024,-0.035011,0.15,0.99,0.815296
